steel_name,knife_steel,application_class,note
1.2442,1,carbon-tool,"Tungsten-alloyed carbon tool steel; used for Japanese-style and custom blades"
1.2519,1,carbon-tool,"Tungsten-alloyed carbon tool steel with documented knife use"
1.2562,1,carbon-tool,"High-tungsten carbon tool steel used by custom bladesmiths"
1.4116,1,stainless-knife,"Standard European kitchen-cutlery stainless"
1084,1,carbon-knife,"Simple carbon steel; bladesmith staple"
1095,1,carbon-knife,"Simple carbon steel; classic fixed-blade steel"
12C27,1,stainless-knife,"Alleima cutlery stainless"
12C27M,1,stainless-knife,"Alleima cutlery stainless"
13C26,1,stainless-knife,"Alleima razor-blade stainless"
14C28N,1,stainless-knife,"Alleima cutlery stainless"
154CM,1,stainless-knife,"Crucible/Latrobe cutlery stainless"
19C27,1,stainless-knife,"Alleima cutlery stainless"
26C3,1,carbon-knife,"High-carbon razor stainless-free steel used in kitchen knives"
3Cr13,1,stainless-knife,"Budget cutlery stainless"
420,1,stainless-knife,"Budget cutlery stainless"
420HC,1,stainless-knife,"Widely used production-knife stainless"
440A,1,stainless-knife,"Budget cutlery stainless"
440C,1,stainless-knife,"Traditional high-carbon cutlery stainless"
5160,1,carbon-knife,"Spring steel; common in large choppers"
52100,1,carbon-knife,"Bearing steel widely used for blades"
7Cr17,1,stainless-knife,"Budget cutlery stainless (440A analogue)"
80CrV2,1,carbon-knife,"Carbon steel popular for bushcraft and choppers"
8670,1,carbon-knife,"Low-alloy tough steel used in choppers"
8Cr13MoV,1,stainless-knife,"Budget production-knife stainless"
9Cr18Mo,1,stainless-knife,"Chinese 440C analogue used in knives"
A2,1,cold-work,"Air-hardening tool steel with long knife history"
A8 mod,1,cold-work,"Modified A8; used for tough blades"
AEB-L,1,stainless-knife,"Razor-blade stainless widely used in knives"
AUS-10,1,stainless-knife,"Aichi cutlery stainless"
AUS-6,1,stainless-knife,"Aichi cutlery stainless"
AUS-8,1,stainless-knife,"Aichi cutlery stainless"
ApexUltra,1,carbon-knife,"Purpose-designed knife steel"
Arne,1,cold-work,"Uddeholm O1-type cold-work steel with knife use"
Blue #1,1,carbon-knife,"Hitachi Aogami; Japanese kitchen knives"
Blue #2,1,carbon-knife,"Hitachi Aogami; Japanese kitchen knives"
Blue Super,1,carbon-knife,"Hitachi Aogami Super; Japanese kitchen knives"
Bure,0,machinery,"Uddeholm machinery steel; no established knife use"
CPM 10V,1,pm-tool,"Crucible PM tool steel used in knives"
CPM 154,1,stainless-knife,"Crucible PM cutlery stainless"
CPM 15V,1,pm-tool,"Crucible PM tool steel used in knives"
CPM 1V,1,pm-tool,"Crucible PM tough tool steel used in knives"
CPM 20CV,1,stainless-knife,"Crucible PM cutlery stainless"
CPM 3V,1,pm-tool,"Crucible PM tough tool steel; hard-use knife staple"
CPM 4V,1,pm-tool,"Crucible PM tool steel used in knives"
CPM 9V,1,pm-tool,"Crucible PM tool steel used in knives"
CPM CruWear,1,pm-tool,"Crucible PM tool steel; knife staple"
CPM D2,1,pm-tool,"PM version of D2 used in knives"
CPM M4,1,pm-tool,"Crucible PM high-speed steel; knife staple"
CPM MagnaCut,1,stainless-knife,"Purpose-designed PM knife stainless"
CPM Rex 121,1,pm-hss,"PM high-speed steel used in limited-run knives"
CPM Rex 45,1,pm-hss,"PM high-speed steel used in knives"
CPM Rex 76,1,pm-hss,"PM high-speed steel used in knives"
CPM S110V,1,stainless-knife,"Crucible PM cutlery stainless"
CPM S125V,1,stainless-knife,"Crucible PM cutlery stainless"
CPM S30V,1,stainless-knife,"Crucible PM cutlery stainless"
CPM S35VN,1,stainless-knife,"Crucible PM cutlery stainless"
CPM S45VN,1,stainless-knife,"Crucible PM cutlery stainless"
CPM S60V,1,stainless-knife,"Crucible PM cutlery stainless (formerly 440V)"
CPM S90V,1,stainless-knife,"Crucible PM cutlery stainless"
CPM SPY27,1,stainless-knife,"Crucible PM cutlery stainless"
CTS-204P,1,stainless-knife,"Carpenter PM cutlery stainless"
CTS-BD1,1,stainless-knife,"Carpenter cutlery stainless"
CTS-BD1N,1,stainless-knife,"Carpenter cutlery stainless"
CTS-XHP,1,stainless-knife,"Carpenter cutlery stainless"
Caldie,1,cold-work,"Uddeholm cold-work steel with knife use"
Calmax,1,cold-work,"Uddeholm cold-work steel marketed for knives"
Carmo,0,machinery,"Uddeholm machinery/cold-work steel; no established knife use"
Corrax,0,plastic-mould,"Uddeholm precipitation-hardening plastic-mould steel"
CruForgeV,1,carbon-knife,"Crucible forging steel designed for blades"
D2,1,cold-work,"Cold-work tool steel; long knife history"
Dievar,1,hot-work,"Uddeholm hot-work steel used by some custom knifemakers"
Elmax,1,stainless-knife,"Uddeholm PM cutlery stainless"
Formax,0,machinery,"Uddeholm machinery steel; no established knife use"
Formvar,0,plastic-mould,"Uddeholm plastic-mould steel"
Ginsan,1,stainless-knife,"Hitachi Ginsan/Silver #3; Japanese kitchen knives"
H1,1,stainless-knife,"Nitrogen-hardened rustproof knife stainless"
Holdax,0,holder,"Uddeholm pre-hardened holder steel"
Idun,0,plastic-mould,"Uddeholm plastic-mould steel"
Impax Supreme,0,plastic-mould,"Uddeholm plastic-mould steel"
K110,1,cold-work,"Bohler D2-equivalent cold-work steel used in knives"
K340,1,cold-work,"Bohler cold-work steel used in knives"
K390,1,pm-tool,"Bohler PM tool steel; knife staple"
